Marca_Modelo,Versiones,TopTransmisiones,TopLocations,anchor_MM,n
Peugeot Expert,"['2.0 HDI FURGON', '2.0 HDI FURGON 150 HP']",['Manual'],"['Ciudad de México', 'Querétaro', 'Guadalajara']",299600.0,4
Peugeot Landtrek,"['2.4 4ACTION AUTO 4WD', '2.4 ALLURE', '2.4 ALLURE AUTO']","['Automático', 'Manual']","['Monterrey', 'Querétaro', 'Guadalajara', 'Ciudad de México']",320800.0,9
Peugeot Manager,['2.2 HDI FURGON L2H2'],['Manual'],['Ciudad de México'],324000.0,1
Peugeot Partner,"['1.2 PURETECH MAXI', '1.2 PURETECH MAXI PACK', '1.6 HDI MAXI', '1.6 HDI MAXI 5 PTAS', '1.6 HDI MAXI AIRBAGS', '1.6 HDI MAXI DIESEL 5P MT', '1.6 HDI MAXI PACK']",['Manual'],"['Ciudad de México', 'Monterrey', 'Guadalajara', 'Querétaro']",291520.0,14
Peugeot Partner Tepee,"['1.6 HDI TURBO TEPEE 4P', '1.6 HDI TURBO TEPEE 7P']",['Manual'],"['Ciudad de México', 'Querétaro']",192000.0,3
Peugeot Rifter,"['1.2 PURETECH ALLURE PACK AUTO', '1.2 PURETECH GT AUTO', '1.6 HDI ACTIVE', '1.6 HDI ACTIVE SB', '1.6 HDI ALLURE', '1.6 HDI ALLURE SB']","['Automático', 'Manual']","['Ciudad de México', 'Querétaro', 'Guadalajara']",367680.0,19
Porsche Cayenne,"['2.9 S AUTO 4WD', '3.0 E-HYBRID AUTO 4WD']",['Automático'],"['Puebla', 'Guadalajara']",870400.0,3
Porsche Macan,"['2.9 V6 GTS DCT', '3.0 S DCT 4WD']",['Automático'],"['Ciudad de México', 'Puebla']",742400.0,2
Ram Promaster Rapid,"['1.4 AA', '1.4 MT AA', '1.4 TM']",['Manual'],"['Ciudad de México', 'Guadalajara']",218400.0,13
Ram Ram 1200,['2.4T BIGHORN CC'],['Automático'],['Ciudad de México'],407200.0,1
Ram Ram 1500,"['3.6 CREW CAB SLT TRABAJO 4X2 V6 8 AUTO', '3.6 MHEV BIGHORN AUTO 4WD', '3.6 MHEV TRADESMAN AUTO 4WD', '3.6 ST REG CAB 4X2 V6 8 AUTO', '5.7 CREW CAB SLT TRABAJO 4X2 V8 6AT', '5.7 CREW CAB SLT TRABAJO 4X4 V8 6AT', '5.7 CREW CAB SLT TRABAJO 4X4 V8 8 AUTO', '5.7 HEMI SPORT CREW CAB 4X4 V8 6AT', '5.7 HEMI SPORT CREW CAB 4X4 V8 8AT', '5.7 LONGHORN CREW CAB AUTO 4WD', '5.7 MHEV LARAMIE SPORT CC AUTO 4WD', '5.7 MHEV LIMITED CREW CAB AUTO 4WD', '5.7 MHEV LONGHORN CREW CAB AUTO 4WD']",['Automático'],"['Guadalajara', 'Ciudad de México', 'Monterrey', 'Cuernavaca', 'Querétaro']",738720.0,23
Ram Ram 2500,"['6.4 HD BIGHORN CREW CAB 4WD V8 AUTO', '6.4 LIMITED HD AUTO 4WD']",['Automático'],"['Cuernavaca', 'Querétaro']",648800.0,2
Ram Ram 4000,"['5.7 PL REG CAB 4X2 V8 5MT', '6.4 CREW CAB CHASIS 4WD V8 6 AUTO']","['Automático', 'Manual']","['Monterrey', 'Ciudad de México']",391440.0,2
Ram Ram 700,"['1.3 BIGHORN CREW CAB', '1.3 BIGHORN CREW CAB CVT', '1.3 LARAMIE CREW CAB', '1.3 LONGHORN CVT', '1.3 SLT CREW CAB', '1.3 SLT REGULAR CAB', '1.6 CLUB CAB ADVENTURE TOUCH SCREEN 6.7', '1.6 SLT DOBLE CAB', '1.6 SLT REGULAR CAB']","['Manual', 'Automático']","['Ciudad de México', 'Puebla', 'Guadalajara', 'Monterrey', 'Querétaro']",285280.0,29
Renault Captur,"['1.3 ICONIC CVT', '2.0 BOSE DEH SMR AUTO', '2.0 ICONIC AUTO', '2.0 ICONIC DEH AUTO', '2.0 ICONIC DEH SMR M AUTO', '2.0 INTENS DEH', '2.0 INTENS DEH AUTO', '2.0 INTENS DEH M', '2.0 INTENS DEH SMR M AUTO']","['Automático', 'Manual']","['Ciudad de México', 'Guadalajara', 'Monterrey', 'Cuernavaca']",229600.0,27
Renault Duster,"['1.3 ICONIC CVT', '1.6 ICONIC', '1.6 INTENS', '2.0 CONNECT DEH', '2.0 CONNECT DEH AUTO', '2.0 INTENS', '2.0 INTENS AUTO', '2.0 INTENS DEH', '2.0 INTENS DEH AUTO', '2.0 ZEN', '2.0 ZEN AUTO', '2.0 ZEN DEH', '2.0 ZEN DEH AUTO']","['Manual', 'Automático']","['Ciudad de México', 'Querétaro', 'Guadalajara', 'Cuernavaca', 'Puebla']",274080.0,90
Renault Kangoo,"['1.6 INTENS', '1.6 INTENS PLUS']",['Manual'],"['Ciudad de México', 'Monterrey', 'Guadalajara']",273824.0,7
Renault Koleos,"['2.5 BOSE CVT', '2.5 ICONIC CVT', '2.5 INTENS CVT', '2.5 MINUIT CVT']",['Automático'],"['Ciudad de México', 'Guadalajara', 'Cuernavaca', 'Monterrey', 'Querétaro']",328320.0,31
Renault Kwid,"['1.0 BITONO', '1.0 ICONIC', '1.0 INTENS', '1.0 OUTSIDER']",['Manual'],"['Ciudad de México', 'Guadalajara', 'Querétaro', 'Puebla', 'Monterrey']",173600.0,162
Renault Logan,"['1.6 INTENS AT', '1.6 INTENS CVT', '1.6 INTENS MT', '1.6 ZEN MT']","['Manual', 'Automático']","['Ciudad de México', 'Querétaro']",164480.0,6
Renault Oroch,"['1.3 OUTSIDER CVT', '1.6 LIFE', '1.6 OUTSIDER TM', '2.0 OUTSIDER', '2.0 OUTSIDER AUTO', '2.0 OUTSIDER SMR', '2.0 OUTSIDER SMR AUTO', '2.0 ZEN']","['Manual', 'Automático']","['Ciudad de México', 'Guadalajara', 'Monterrey', 'Puebla', 'Cuernavaca']",299880.0,52
Renault Sandero,['2.0 RS MT'],['Manual'],"['Ciudad de México', 'Guadalajara']",181600.0,2
Renault Stepway,"['1.6 INTENS CVT', '1.6 INTENS MT', '1.6 ZEN MT']","['Manual', 'Automático']","['Ciudad de México', 'Querétaro', 'Guadalajara', 'Cuernavaca', 'Monterrey']",221120.0,30
Seat Arona,"['1.6 BEATS AUTO', '1.6 MARINA AUTO', '1.6 REFERENCE AUTO', '1.6 STYLE AUTO', '1.6 XCELLENCE AUTO', '1.6 XPERIENCE AUTO']",['Automático'],"['Ciudad de México', 'Puebla', 'Monterrey', 'Guadalajara', 'Querétaro']",284160.0,84
Seat Ateca,"['1.4 FR AUTO', '1.4 FR DCT', '1.4 STYLE AUTO', '1.4 STYLE DCT', '1.4 XCELLENCE DCT', '1.4 XCELLENCE DCT 4WD', '1.4 XPERIENCE AUTO']",['Automático'],"['Guadalajara', 'Ciudad de México', 'Puebla', 'Querétaro']",371880.0,23
Seat Ibiza,"['1.0 FR', '1.6 FR', '1.6 FR 20 ANIVERSARIO', '1.6 REFERENCE', '1.6 STYLE', '1.6 STYLE AUTO', '1.6 STYLE MT', '1.6 STYLE URBAN PLUS', '1.6 STYLE URBAN PLUS AUTO', '1.6 XCELLENCE', '1.6 XCELLENCE AUTO']","['Manual', 'Automático']","['Ciudad de México', 'Puebla', 'Guadalajara', 'Monterrey', 'Querétaro']",274400.0,145
Seat Leon,"['1.4 FR', '1.4 FR AUTO', '1.4 FR DCT', '1.4 ST STYLE DCT', '1.4 STYLE 125HP', '1.4 STYLE 150HP', '1.4 STYLE 150HP DCT', '1.4 STYLE AUTO', '2.0 CUPRA DCT', '2.0 CUPRA EDICION LIMITADA DCT', '2.0 FR AUTO']","['Automático', 'Manual']","['Ciudad de México', 'Puebla', 'Guadalajara', 'Monterrey', 'Cuernavaca']",395200.0,50
